host_id,hostname,dist_pc,st_teff_k,st_rad_rsun,st_mass_msun,st_lum_log,st_logg,st_met_dex,st_spectype,spectral_class,hr_region,n_stars,n_planets
3557,MOA-2009-BLG-319L,7050.0,5502.5,1.42487,0.524,0.31745,,,Unknown,Unknown,Unknown,1,1
3558,MOA-2009-BLG-387L,5690.0,5502.5,1.42487,0.19,0.31745,,,Unknown,Unknown,Unknown,1,1
3559,MOA-2010-BLG-073L,2800.0,5502.5,1.42487,0.16,0.31745,,,Unknown,Unknown,Unknown,1,1
3560,MOA-2010-BLG-117L,3500.0,5502.5,1.42487,0.58,0.31745,,,Unknown,Unknown,Unknown,1,1
3561,MOA-2010-BLG-328L,810.0,5502.5,1.42487,0.11,0.31745,,,Unknown,Unknown,Unknown,1,1
3562,MOA-2010-BLG-353L,6430.0,5502.5,1.42487,0.18,0.31745,,,Unknown,Unknown,Unknown,1,1
3563,MOA-2010-BLG-477L,2300.0,5950.0,1.42487,0.67,0.31745,,,Unknown,Unknown,Unknown,1,1
3564,MOA-2011-BLG-028L,7380.0,5502.5,1.42487,0.75,0.31745,,,Unknown,Unknown,Unknown,1,1
3565,MOA-2011-BLG-262L,7200.0,5502.5,1.42487,0.11,0.31745,,,Unknown,Unknown,Unknown,1,1
3566,MOA-2011-BLG-291L,4400.0,5502.5,1.42487,0.15,0.31745,,,Unknown,Unknown,Unknown,1,1
3567,MOA-2011-BLG-293L,7720.0,5502.5,1.42487,0.86,0.31745,,,Unknown,Unknown,Unknown,1,1
3568,MOA-2011-BLG-322L,7560.0,5502.5,1.42487,0.39,0.31745,,,Unknown,Unknown,Unknown,1,1
3569,MOA-2012-BLG-006L,5300.0,5502.5,1.42487,0.49,0.31745,,,Unknown,Unknown,Unknown,1,1
3570,MOA-2012-BLG-505L,7210.0,5502.5,1.42487,0.1,0.31745,,,Unknown,Unknown,Unknown,1,1
3571,MOA-2013-BLG-220L,6720.0,5502.5,1.42487,0.88,0.31745,,,Unknown,Unknown,Unknown,1,1
3572,MOA-2016-BLG-227L,6500.0,5502.5,1.42487,0.29,0.31745,,,Unknown,Unknown,Unknown,1,1
3573,MOA-2016-BLG-319L,6800.0,5502.5,1.42487,0.15,0.31745,,,Unknown,Unknown,Unknown,1,1
3574,MOA-2016-BLG-526L,6930.0,5502.5,1.42487,0.37,0.31745,,,Unknown,Unknown,Unknown,1,1
3575,MOA-2019-BLG-008L,2700.0,5502.5,1.42487,0.9,0.31745,,,Unknown,Unknown,Unknown,1,1
3576,MOA-2020-BLG-135L,7900.0,5502.5,1.42487,0.23,0.31745,,,Unknown,Unknown,Unknown,1,1
3577,MOA-2020-BLG-208L,7490.0,5502.5,1.42487,0.43,0.31745,,,Unknown,Unknown,Unknown,1,1
3578,MOA-2022-BLG-033L,1840.0,5502.5,1.42487,0.51,0.31745,,,F7 V,F,Unknown,1,1
3579,MOA-2022-BLG-091L,4250.0,5502.5,1.42487,0.75,0.31745,,,G8 V,G,Unknown,1,1
3580,MOA-2022-BLG-249L,2000.0,5502.5,1.42487,0.18,0.31745,,,Unknown,Unknown,Unknown,1,1
3581,MOA-2022-BLG-563L,6530.0,5502.5,1.42487,0.48,0.31745,,,Unknown,Unknown,Unknown,1,1
3582,MOA-bin-1L,5100.0,5502.5,1.42487,0.75,0.31745,,,Unknown,Unknown,Unknown,1,1
3583,MWC 758,159.537,7314.0,2.01446,1.5,1.01963,4.04855,,A8Ve,A,Main_Sequence_Hot,1,1
3584,MXB 1658-298,,6305.24,0.203,1.98,1.37508,,,Unknown,Unknown,Unknown,2,1
3585,NGC 2682 Sand 1429,852.793,6000.0,2.13,1.26,0.73989,4.01,-0.013,F9.5 V,F,Main_Sequence_Hot,1,1
3586,NGC 2682 Sand 978,821.918,4200.0,21.017414,1.37,2.1567,1.8,-0.02,K4 III,K,Supergiant,1,1
3587,NGC 2682 YBP 1194,872.92,5780.0,0.99,1.01,-0.01121,4.44,0.023,G5 V,G,Main_Sequence_Cool,1,1
